value_name,activity_name,advice_text,advice_details
equity,writing a book,Have you considered accessibility in your discussions of font choice and design with your publisher?,"The Accessible Books Consortium has created <a href=""https://www.accessiblebooksconsortium.org/publishing/en/accessible_best_practice_guidelines_for_publishers.html"">best practices for accessibility in publishing</a>. This can be helpful in discussions with your publisher, or if you're self-publishing in a digital format. The Daisy Consortium's <a href=""http://kb.daisy.org/publishing/docs/"">Accessible Publishing Knowledge Base</a> provides information on how to create accessible digital publications. "
equity,writing a book,Have you considered creating an audiobook version of your work for nonsighted readers?,
community,writing a book,"Who has been included in early discussions of the subject matter? Have you deliberately excluded people from those discussions and, if so, why?",
community,writing a book,Would this book benefit from having co-authors? Who might those be?,
community,writing a book,Have you incorporated feedback you’ve received as you have presented on the work in progress?,
community,writing a book,Have you solicited feedback from multiple viewpoints and incorporated it into your work?,
community,writing a book,Will your work be reviewed by experts? How and by whom will those experts be selected?,"""Expertise"" is a fraught and often biased concept, but having your work reviewed by members of your community who are deeply engaged in and knowledgeable about your subject matter can enrich your work. Said review can happen through traditional peer review processes, formal or informal mentorship, or open/semi-open comment if you make your manuscript available in pre-print or draft form."
community,writing a book,"Who has had an ability to give feedback, and at what stage?",
openness,writing a book,Are you considering publishing Open Access?,
openness,writing a book,Are you considering applying a Creative Commons licence to your book content?,
openness,writing a book,Are your citations to work that is freely available?,
openness,writing a book,Is the language used in your book accessible and legible for your intended audiences?,
openness,writing a book,Are you considering opening up your book for open peer review on the web?,
collegiality,writing a book,Have you credited all contributors to your book?,
collegiality,writing a book,Have you recognized feedback that has improved your book?,"Have you recognized feedback that has improved your book?

Writing a book is the most solitary of the activities we’ve listed here, but one of the things we emphasize in <a href=""https://humetricshss.org/our-work/workshops/"">our workshop process</a> is that every scholarly product, i.e. a book, an article, etc can be broken down into a set of processes and microtransactions, and in many of those smaller moments along the way we tend to involve others—mentors, colleagues, research assistants—who improve our work in various ways. Traditionally, we recognize these people in an acknowledgments section of a book, but there are other possibilities as well—thanking contributors publicly in any talks you might give about the book, in your publicity for the book, or on social media.
"
collegiality,writing a book,"Who has had an ability to give feedback, and at what stage?",
collegiality,writing a book,How will your book inspire creative or academic responses?,
collegiality,writing a book,How have you amplified the previous or related work of others?,
soundness,writing a book,Does the scholarship engage the most recent and relevant scholarship in a substantive way?,
soundness,writing a book,Does the book tell a coherent story or make a coherent argument? Are the chapters organized in a way that aligns with the main purpose of the book?,
soundness,writing a book,"Is the writing clear, eloquent, and compelling?",
soundness,writing a book,Does the cover and material makeup of the book align with the purpose of the book?,"While the degree to which you have control over the design elements of your book may vary by publisher, design is an important way to communicate with your intended audience. Are there visual cues that align with other books in your discipline, or ways to distinguish your work from them? What images might capture your subject matter best? Is your book an expensive hardcover, despite being about economic inequality?"
soundness,writing a book,Does the book add something substantively new to the scholarship on the issues addressed? Does it advance our understanding of the subject matter?,
soundness,writing a book,Were the data collected for the book in an ethical way? Were relevant institutional review boards engaged in approving the research?,"Institutional review boards are a good start for thinking through the ethics of many kinds of research and the potential impacts of your work on human subjects. However, some disciplines have developed beyond the scope of current IRB standards. For example, research with networked social media data presents unique challenges for anonymization, consent, and digital privacy. For more on how data ethics researchers are thinking through these issues, see <a href=""https://pervade.umd.edu/about/user-communities/"">Pervasive Data Ethics for Computational Research (PERVADE)</a>"
soundness,writing a book,"Does the book make an ""original"" contribution to the field or establish a new transdisciplinary field?","The concept of ""originality"" can be a fraught one. "
equity,creating a digital project,Is your website legible to screen-readers? Is it responsive?,"If the resources are online, are they accessible by screen reader? There are free screen readers available that you can use to test resources: <a href=""https://webaim.org/articles/nvda/"">NVDA (Windows)</a> or <a href=""https://webaim.org/articles/voiceover/"">Voiceover (Mac)</a>. "
equity,creating a digital project,Is your project accessible to those who use assistive technology?,"There are several Chrome browser extensions that can be used to identify accessibility issues, including <a href=""https://wave.webaim.org/"">WebAIM's WAVE</a> and <a href=""https://www.deque.com/axe/"">Deque's Axe</a>."
equity,creating a digital project,Is your project available in multiple languages?,
equity,creating a digital project,Have you chosen the colors in your graphic design with consideration for the colorblind and/or the visually impaired?,"<a href=""https://www.color-blindness.com/color-blindness-tools/"">Color-blindness.com offers several tools</a> to test colors for friendliness to users who have colorblindness. <a href=""https://webaim.org/resources/linkcontrastchecker/"">WebAIM's Link Contrast Checker</a> can help you find the right level of contrast between text, background, and links. <a href=""https://chrome.google.com/webstore/detail/nocoffee/jjeeggmbnhckmgdhmgdckeigabjfbddl"">No Coffee</a> is a Chrome browser extension simulates vision impairments to help you determine where issues might be on your website. "
equity,creating a digital project,Do all of your images have clear descriptions for the visually impaired?,"<a href=""https://describingvisualresources.org/"">Describing Visual Resources</a> offers resources and guidelines for describing visual resources for the visually impaired."
equity,creating a digital project,"If the project is aimed at a wide audience, is the language used understandable by those outside your discipline?",
community,creating a digital project,How are you recognizing your collaborators?,
community,creating a digital project,Have you been inclusive in selecting your collaborators?,
community,creating a digital project,How does your project contribute to advancement of your scholarly community?,
community,creating a digital project,Does the population that provided the data have access to view the project?,
community,creating a digital project,Are community norms and values regarding making cultural content public respected?,
openness,creating a digital project,Is content in your project licenced with a license that supports reuse (e.g. CC-BY)?,
openness,creating a digital project,Have you considered sharing the code of your digital project on an open repository?,
openness,creating a digital project,Is the code of your project licenced under an Open Source licence (e.g. GNU-GPL)?,
openness,creating a digital project,Are you planning to share the research process/workflow behind your project?,
openness,creating a digital project,Is the work behind your project well-documented so that others might build on the work?,
collegiality,creating a digital project,Have you recognized all the contributors to your project?,
collegiality,creating a digital project,Have you created a space in which people can give honest feedback?,
collegiality,creating a digital project,Have you recognized feedback that has improved your project?,
collegiality,creating a digital project,Have you recognized the individual needs of your collaborators?,
collegiality,creating a digital project,Have you credited all previous works you have been building on?,
soundness,creating a digital project,Does the project add a new perspective to its subject matter? ,
soundness,creating a digital project,Does the code and/or do the tools used align with the core values of the project?,
soundness,creating a digital project,Does the project substantively engage relevant scholarship - digital or otherwise - on the subject matter?,
soundness,creating a digital project,"Is the content well edited, well written and crafted?",
soundness,creating a digital project,"Does the project cohere around its central subject, bringing content and design together in a way that adds new insight to the subject?",
soundness,creating a digital project,Do the form and content cohere in such a way that they reinforce the main scholarly purpose of the project?,
soundness,creating a digital project,Were the data collected for the project in an ethical way? Were relevant institutional review boards engaged in approving the research?,
soundness,creating a digital project,Does the project make an original contribution to the subject area?,
